TARGET_FID,KOD_UNI,MAPA,STRED,CENA,FUNKCE,TYP_CENY,zmena,DAT_VZNIK,DAT_ZMENA,ID,KOD_MC,NAZEV_MC,KOD_MO,POSKYT,ID_POSKYT,STAV_ZMENA,NAZEV_1,OBJECTID,TARGET_FID_1,TYP,PO__ET_POD,ST__ECHA,PO__ET_P_1,PO__ET_P_2,NOVA_BUDOV,KOD_UNI_1,DB_LO,DB_HI
3527,271900,45,1,48450,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2273,3527,1,6,3,1,0,0,271900,5,10
3543,270500,45,1,41650,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2284,3543,1,6,3,2,0,0,270500,5,10
3551,270200,45,1,37470,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2290,3551,1,2,1,1,0,0,270200,55,60
3695,402700,60,1,41650,A2,181920-primy,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2391,3695,1,7,1,0,0,0,402700,60,65
3740,388400,59,1,37470,A2,vysl-filtr,4,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2424,3740,1,6,1,0,0,0,388400,55,60
8811,264611,44,1,22120,A2,181920-pary,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,4730,8811,1,4,1,1,0,0,264611,55,60
8812,264613,45,1,N,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,4731,8812,1,3,1,1,0,0,264613,20,25
8817,270900,45,1,33850,A2,181920-pary,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,4736,8817,1,1,1,0,0,0,270900,55,60
8820,270319,45,1,41650,A1,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,4739,8820,1,6,3,0,0,0,270319,10,15
8822,271933,45,1,56470,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,4741,8822,7,5,1,0,0,0,271933,0,5
9301,284602,46,1,N,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,4945,9301,3,2,1,0,0,0,284602,60,65
3883,389600,59,1,30150,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,30,500089,Praha 2,27,HMP-IPR,43,U,Praha 2,2521,3883,1,6,3,3,0,0,389600,5,10
4126,390100,59,1,15380,CB3,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,30,500089,Praha 2,27,HMP-IPR,43,U,Praha 2,2700,4126,1,4,1,0,0,0,390100,40,45
4436,395800,59,1,15230,DB3,vysl-filtr,5,2018-09-10 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,30,500089,Praha 2,27,HMP-IPR,43,U,Praha 2,2943,4436,1,3,1,0,0,0,395800,60,65
4782,3998,60,0,5400,DB3,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2020-04-02 00:00:00.000000 UTC,30,500089,Praha 2,27,HMP-IPR,43,U,Praha 2,3206,4782,1,5,1,0,0,0,3998,55,60
