CODE,METRO_STATION,METRO_LINE,CENTER,DISTRICT_CODE,DISTRICT_NAME,TYPE,FLOORS,ROOF_TYPE,N_of_RECEDING_FLOORS,N_of_FLOORS_SLOPE,NEW_BUILDING,DB_LOW,DB_HIGHT,PRICE_COMPLETE
269100,Můstek,B,1,500054,Praha 1,1,5,3,0,0,0,5,10,55810
264200,Hradčanská,A,1,500054,Praha 1,1,1,1,0,0,0,55,60,N
264400,,,1,500054,Praha 1,1,1,1,0,0,0,25,30,N
284700,Florenc,B,1,500054,Praha 1,1,7,3,0,0,0,55,60,54040
284600,Florenc,B,1,500054,Praha 1,3,2,1,0,0,0,60,65,35000
284602,Florenc,B,1,500054,Praha 1,3,2,1,0,0,0,60,65,N
284601,Florenc,B,1,500054,Praha 1,3,2,3,0,0,0,5,10,45120
264800,Hradčanská,A,1,500054,Praha 1,4,2,1,0,1,0,60,65,N
265104,Malostranská,A,1,500054,Praha 1,4,2,1,1,0,0,55,60,41150
2635,,,0,500054,Praha 1,4,2,1,0,0,0,30,35,N
2852,Můstek,"A,B",0,500054,Praha 1,4,4,1,0,0,0,60,65,N
284000,Florenc,B,1,500054,Praha 1,4,2,1,0,0,0,55,60,N
285000,Florenc,B,1,500054,Praha 1,4,4,1,0,0,0,60,65,N
261600,,,1,500054,Praha 1,4,1,1,0,0,0,55,60,N
402900,Můstek,"A,B",1,500054,Praha 1,4,3,3,2,0,0,10,15,N
2859,Můstek,"A,B",0,500054,Praha 1,4,4,3,2,0,0,0,5,N
266800,,,1,500054,Praha 1,4,1,1,0,0,0,30,35,N
266200,,,1,500054,Praha 1,4,1,1,0,0,0,30,35,N
272100,Hradčanská,A,1,500054,Praha 1,4,2,1,0,0,0,55,60,N
261701,,,1,500054,Praha 1,4,1,1,0,0,0,40,45,22120
268700,Staroměstská,A,1,500054,Praha 1,7,4,1,0,0,0,55,60,N
265000,Staroměstská,A,1,500054,Praha 1,7,3,1,0,0,0,55,60,37470
271933,Můstek,"A,B",1,500054,Praha 1,7,5,1,0,0,0,0,5,56470
388000,Karlovo náměstí,B,1,500054,Praha 1,7,6,1,0,0,0,50,55,N
269300,Staroměstská,A,1,500054,Praha 1,7,5,1,0,0,0,5,10,49970
271800,Můstek,"A,B",1,500054,Praha 1,7,4,1,0,0,0,5,10,N
272300,,,1,500054,Praha 1,7,4,1,0,0,0,55,60,N
266100,,,1,500054,Praha 1,7,3,1,1,0,0,30,35,N
2581,,,0,500054,Praha 1,7,3,1,0,0,0,40,45,N
388900,Můstek,"A,B",1,500054,Praha 1,7,4,1,0,0,0,40,45,37500
4030,I. P. Pavlova,C,0,500054,Praha 1,7,5,1,0,0,0,10,15,46850
270101,Národní třída,B,1,500054,Praha 1,7,4,1,0,0,0,35,40,41650
268600,,,1,500054,Praha 1,7,6,1,1,0,0,0,5,N
15731,,,0,500089,Praha 2,,,,,,,40,45,N
392000,,,1,500089,Praha 2,,,,,,,60,65,N
15739,I. P. Pavlova,C,0,500089,Praha 2,,,,,,,35,40,19610
3972,,,0,500089,Praha 2,,,,,,,40,45,N
4083,,,0,500089,Praha 2,,,,,,,40,45,N
2865,Hlavní nádraží,C,0,500089,Praha 2,,,,,,,40,45,7200
393902,Karlovo náměstí,B,1,500089,Praha 2,,,,,,,60,65,20520
15726,Náměstí Míru,A,0,500089,Praha 2,,,,,,,35,40,19610
4064,,,0,500089,Praha 2,,,,,,,50,55,19610
4002,,,0,500089,Praha 2,,,,,,,60,65,11680
389603,Karlovo náměstí,B,1,500089,Praha 2,,,,,,,0,5,38320
3924,,,0,500089,Praha 2,,,,,,,55,60,16450
3977,,,0,500089,Praha 2,,,,,,,55,60,N
3980,,,0,500089,Praha 2,1,1,1,0,0,0,40,45,N
3925,Vyšehrad,C,0,500089,Praha 2,1,5,1,0,0,0,55,60,12840
389400,Karlovo náměstí,B,1,500089,Praha 2,1,1,1,0,0,0,60,65,24230
1570100,,,1,500089,Praha 2,1,1,3,0,0,0,60,65,9330
3981,Vyšehrad,C,0,500089,Praha 2,1,6,3,1,0,0,40,45,16920
393700,Karlovo náměstí,B,1,500089,Praha 2,1,4,3,0,0,0,5,10,N
3955,Karlovo náměstí,B,0,500089,Praha 2,1,2,1,0,0,0,60,65,N
395200,,,1,500089,Praha 2,1,1,1,0,0,0,35,40,N
395700,Karlovo náměstí,B,1,500089,Praha 2,1,6,3,1,0,0,60,65,15230
15300,Náměstí Míru,A,0,500089,Praha 2,1,6,1,1,0,0,30,35,19610
395600,Karlovo náměstí,B,1,500089,Praha 2,1,1,1,0,0,0,60,65,N
391700,,,1,500089,Praha 2,1,7,3,0,0,0,55,60,N
3969,,,0,500089,Praha 2,1,4,1,0,0,0,55,60,N
